"INFO  29.07.2017 17:21:31 - Пассажир 8 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 46 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 56 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 63 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 100 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 47 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 51 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 64 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 83 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 64 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 55 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 76 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 60 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 97 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 98 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 60 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 87 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 89 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 66 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 68 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 67 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 96 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 78 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 79 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 69 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 72 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 81 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 84 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 82 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 85 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 88 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 90 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 91 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 93 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 94 сел на 4 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 6 сел на 0 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 7 сел на 0 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 1 сел на 1 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 3 сел на 1 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 2 сел на 3 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 5 сел на 4 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 9 сел на 6 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 5 сел на 4 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 13 сел на 1 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 10 сел на 2 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 11 сел на 2 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 4 сел на 5 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 10 сел на 2 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 12 сел на 2 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 14 сел на 3 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 8 сел на 4 этаже
""INFO  29.07.2017 18:44:28 - Пассажир 8 сел на 4 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 2 сел на 1 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 3 сел на 1 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 6 сел на 1 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 9 сел на 1 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 10 сел на 2 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 1 сел на 3 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 5 сел на 4 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 1 сел на 3 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 6 сел на 1 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 4 сел на 3 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 7 сел на 3 этаже
